i	t	sum
829	-5.90052	7.72433e-25
830	-5.9004	7.73798e-25
831	-5.90028	7.74955e-25
832	-5.90016	7.75916e-25
833	-5.90004	7.76696e-25
834	-5.89992	7.7731e-25
835	-5.8998	7.77776e-25
836	-5.89968	7.78112e-25
837	-5.89956	7.78337e-25
838	-5.89944	7.78473e-25
839	-5.89932	7.78542e-25
840	-5.8992	7.78566e-25
841	-5.89908	7.7857e-25
842	-5.89896	7.7858e-25
843	-5.89884	7.7862e-25
844	-5.89872	7.78718e-25
845	-5.8986	7.789e-25
846	-5.89848	7.79195e-25
847	-5.89836	7.7963e-25
848	-5.89824	7.80233e-25
849	-5.89812	7.81034e-25
850	-5.898	7.82059e-25
851	-5.89788	7.83337e-25
852	-5.89776	7.84895e-25
853	-5.89764	7.8676e-25
854	-5.89752	7.88959e-25
855	-5.8974	7.91516e-25
856	-5.89728	7.94456e-25
857	-5.89716	7.97802e-25
858	-5.89704	8.01575e-25
859	-5.89692	8.05796e-25
860	-5.8968	8.10481e-25
861	-5.89668	8.15649e-25
862	-5.89656	8.21312e-25
863	-5.89644	8.27483e-25
864	-5.89632	8.34171e-25
865	-5.8962	8.41385e-25
866	-5.89608	8.49127e-25
867	-5.89596	8.57401e-25
868	-5.89584	8.66205e-25
869	-5.89572	8.75536e-25
870	-5.8956	8.85386e-25
871	-5.89548	8.95746e-25
872	-5.89536	9.06604e-25
873	-5.89524	9.17942e-25
